CDS	AT/GC	Sites
ENSG00000147687.ali	2.220631132325643	894
ENSG00000115875.ali	2.220403502093643	714
ENSG00000156384.ali	2.220172201722017	789
ENSG00000165113.ali	2.218414967416439	1110
ENSG00000123609.ali	2.2174545454545456	927
ENSG00000115540.ali	2.2171524128045865	675
ENSG00000204262.ali	2.216889907599742	4500
ENSG00000239642.ali	2.210995542347697	1128
ENSG00000234828.ali	2.208603896103896	1461
ENSG00000172845.ali	2.2080745341614905	2118
ENSG00000197969.ali	2.205532315076045	9525
ENSG00000198015.ali	2.2041062801932365	432
ENSG00000198765.ali	2.200861604738826	2946
ENSG00000187109.ali	2.1996959908797264	1176
ENSG00000151806.ali	2.19921875	1950
ENSG00000131725.ali	2.197730515730108	2754
ENSG00000165494.ali	2.196589434661724	4770
ENSG00000151164.ali	2.1946182728410513	1245
ENSG00000033178.ali	2.194442369462912	3147
ENSG00000148634.ali	2.194330361614745	3171
ENSG00000144362.ali	2.1934156378600824	723
ENSG00000057468.ali	2.1927975035843805	2814
ENSG00000162669.ali	2.192384012094869	4326
ENSG00000065243.ali	2.1894850948509483	2955
ENSG00000100575.ali	2.1872340425531913	267
ENSG00000138398.ali	2.1852844003928924	2277
ENSG00000086288.ali	2.183507023108292	1785
ENSG00000132485.ali	2.1833173230867757	993
ENSG00000145725.ali	2.177616255722432	3723
ENSG00000101751.ali	2.176656151419558	2211
ENSG00000105879.ali	2.1756714390218415	1473
ENSG00000096717.ali	2.174616428347772	2160
ENSG00000143452.ali	2.174174174174174	1188
ENSG00000144366.ali	2.1718045112781956	912
ENSG00000109046.ali	2.1699867197875164	1263
ENSG00000169288.ali	2.1672882258923813	984
ENSG00000109332.ali	2.165742024965326	447
ENSG00000117569.ali	2.1651917404129795	1596
ENSG00000176105.ali	2.164903489235338	1629
ENSG00000198707.ali	2.1622910737905325	7437
ENSG00000183735.ali	2.1599182623174147	2190
ENSG00000197579.ali	2.1596044062072846	3147
ENSG00000162614.ali	2.156291874771592	2034
ENSG00000136536.ali	2.15431654676259	2136
ENSG00000060749.ali	2.153660288643636	5229
ENSG00000174718.ali	2.152661680598328	5400
ENSG00000105821.ali	2.1509618519726117	1866
ENSG00000118412.ali	2.148081817324913	5973
ENSG00000137770.ali	2.1479970326409497	1398
ENSG00000197045.ali	2.147029865441418	429
ENSG00000112701.ali	2.145933783349405	3357
ENSG00000162607.ali	2.1419036564132328	2367
ENSG00000188177.ali	2.1374293615486355	3573
ENSG00000163092.ali	2.1373701893708	10047
ENSG00000075089.ali	2.13729792147806	1191
ENSG00000198865.ali	2.135135135135135	789
ENSG00000145414.ali	2.134046570169918	1359
ENSG00000156802.ali	2.133258546377753	4200
ENSG00000120699.ali	2.1328320802005014	828
ENSG00000100485.ali	2.132409098455919	4002
ENSG00000204856.ali	2.13184584178499	753
ENSG00000087502.ali	2.131515409742934	1122
ENSG00000162616.ali	2.129942650166013	1011
ENSG00000134717.ali	2.129032258064516	474
ENSG00000147874.ali	2.129000969932105	2880
ENSG00000135378.ali	2.127881040892193	690
ENSG00000185246.ali	2.125283136764821	2019
ENSG00000109180.ali	2.1246951219512193	741
ENSG00000166471.ali	2.123004139562389	873
ENSG00000186432.ali	2.122981878088962	1563
ENSG00000165490.ali	2.1229345670852613	3009
ENSG00000203965.ali	2.121654015181782	1887
ENSG00000144827.ali	2.120274914089347	918
ENSG00000138757.ali	2.118931764173362	1446
ENSG00000185697.ali	2.118010821953105	2262
ENSG00000127993.ali	2.117493472584856	1107
ENSG00000072401.ali	2.114426330359889	441
ENSG00000075711.ali	2.114182352608671	2781
ENSG00000083535.ali	2.1118473666171598	2271
ENSG00000122958.ali	2.108174178762414	981
ENSG00000106399.ali	2.107883817427386	363
ENSG00000115339.ali	2.1067782580704497	1899
ENSG00000154479.ali	2.1046663759267337	1641
ENSG00000151575.ali	2.104600484261501	1179
ENSG00000100578.ali	2.104345165238678	4680
ENSG00000117620.ali	2.1031688872884406	978
ENSG00000156531.ali	2.1007133357514207	1098
ENSG00000106392.ali	2.1006815968841286	1086
ENSG00000196591.ali	2.0995827538247567	1464
ENSG00000088451.ali	2.0984886231523	1065
ENSG00000198130.ali	2.0982171799027554	1140
ENSG00000115904.ali	2.096864501679731	4005
ENSG00000100526.ali	2.0962485790071996	636
ENSG00000135679.ali	2.095271049596309	1479
ENSG00000164037.ali	2.0940627084723147	1551
ENSG00000163605.ali	2.0939841089670828	1266
ENSG00000064933.ali	2.09315228500511	2808
ENSG00000078674.ali	2.0914523799503386	6249
ENSG00000166352.ali	2.090725806451613	747
ENSG00000083896.ali	2.089160242854219	2217
ENSG00000169131.ali	2.087719298245614	1827
ENSG00000173451.ali	2.0868180007964954	654
ENSG00000196074.ali	2.08345498783455	4623
ENSG00000163728.ali	2.080375898286346	2334
ENSG00000154415.ali	2.0778766687857595	3399
ENSG00000109205.ali	2.075098814229249	843
ENSG00000166226.ali	2.0731559854897217	1605
ENSG00000177853.ali	2.0718240093240095	4506
ENSG00000112290.ali	2.070910809959029	1677
ENSG00000112851.ali	2.070166806081779	4398
ENSG00000024526.ali	2.0692497938994228	2439
ENSG00000177707.ali	2.0656833081190116	1524
ENSG00000163946.ali	2.062045724857936	5001
ENSG00000106355.ali	2.0600343053173242	273
ENSG00000174891.ali	2.0597133757961785	1002
ENSG00000178966.ali	2.059288537549407	1893
ENSG00000173915.ali	2.058201058201058	174
ENSG00000188655.ali	2.0562248995983934	567
ENSG00000169752.ali	2.0552325581395348	339
ENSG00000104047.ali	2.0539431251832307	912
ENSG00000104325.ali	2.0538482458525973	987
ENSG00000122483.ali	2.053815077368702	4371
ENSG00000105793.ali	2.0525933107125547	1152
ENSG00000122482.ali	2.0521380793119923	3993
ENSG00000077232.ali	2.051514886929189	2376
ENSG00000108510.ali	2.051417711115677	6519
ENSG00000165181.ali	2.0506474820143885	4401
ENSG00000171016.ali	2.049371792603079	1260
ENSG00000139726.ali	2.0484429065743943	603
ENSG00000111647.ali	2.0479671668590482	4389
ENSG00000196504.ali	2.047949429540549	2751
ENSG00000185946.ali	2.0473949034247685	1554
ENSG00000145216.ali	2.046263061338438	1824
ENSG00000078140.ali	2.0457902511078285	600
ENSG00000187522.ali	2.0456092579986387	1539
ENSG00000072736.ali	2.044879089615932	3240
ENSG00000205129.ali	2.0448760884125923	933
ENSG00000182050.ali	2.0426484138475716	1437
ENSG00000143952.ali	2.042502142245073	2934
ENSG00000133703.ali	2.042130177514793	684
ENSG00000144566.ali	2.04127198917456	645
ENSG00000100519.ali	2.0407701019252547	1209
ENSG00000139746.ali	2.0390389076108364	3036
ENSG00000189079.ali	2.038307564881281	5337
ENSG00000153922.ali	2.0378735232800556	5163
ENSG00000176018.ali	2.036352800953516	921
ENSG00000170448.ali	2.0358772133302403	2751
ENSG00000004897.ali	2.0334971990396706	2478
ENSG00000142856.ali	2.0327380952380953	540
ENSG00000112081.ali	2.031380083253282	492
ENSG00000131023.ali	2.029585207396302	3408
ENSG00000198939.ali	2.0287862513426425	1383
ENSG00000162819.ali	2.028293673824724	1233
ENSG00000166845.ali	2.0280739161336174	1608
ENSG00000166855.ali	2.0237834190773385	1899
ENSG00000082212.ali	2.023714606971277	1752
ENSG00000139324.ali	2.022747897634461	2748
ENSG00000001631.ali	2.0216528814471117	2208
ENSG00000109471.ali	2.0203562340966923	468
ENSG00000154438.ali	2.020017793594306	1431
ENSG00000163331.ali	2.019267822736031	309
ENSG00000147180.ali	2.0189280603616497	2436
ENSG00000132972.ali	2.018010124610592	4851
ENSG00000151287.ali	2.01767745444656	675
ENSG00000163918.ali	2.017349636483807	1098
ENSG00000146247.ali	2.017207936156063	5352
ENSG00000121895.ali	2.016706443914081	915
ENSG00000204640.ali	2.0163934426229506	456
ENSG00000176571.ali	2.0159924741298214	1308
ENSG00000112245.ali	2.0152190051967334	519
ENSG00000152219.ali	2.013404297260004	780
ENSG00000163029.ali	2.012918024870216	3300
ENSG00000092108.ali	2.0120008889547374	1926
ENSG00000151923.ali	2.011850959124234	1176
ENSG00000166266.ali	2.0116944757058275	2328
ENSG00000198087.ali	2.0110166824047844	1929
ENSG00000133104.ali	2.009814746656852	2025
ENSG00000131051.ali	2.0097948623175013	1593
ENSG00000077097.ali	2.009205673333533	4821
ENSG00000173588.ali	2.008816120906801	2106
ENSG00000152763.ali	2.0077299258558132	2448
ENSG00000155096.ali	2.0066266961186496	1344
ENSG00000109534.ali	2.006436314363144	741
ENSG00000092439.ali	2.0060119687818867	5613
ENSG00000185658.ali	2.005156262300244	6972
ENSG00000178338.ali	2.003010033444816	1839
ENSG00000138160.ali	2.0014886164623467	3165
ENSG00000108064.ali	2.0	741
ENSG00000080345.ali	1.9999395405078597	7497
ENSG00000177189.ali	1.9996267860951162	2223
ENSG00000145715.ali	1.998060456975259	3153
ENSG00000006837.ali	1.9973344269017839	1770
ENSG00000112742.ali	1.9965796807702052	2601
ENSG00000138385.ali	1.9953454189122979	1221
ENSG00000149308.ali	1.9943193997856377	4350
ENSG00000183137.ali	1.9936661698956781	1383
ENSG00000139618.ali	1.9932911392405064	10431
ENSG00000163633.ali	1.9929824561403509	351
ENSG00000055917.ali	1.9926744634365763	3213
ENSG00000186446.ali	1.9926595143986447	813
ENSG00000096872.ali	1.9925655772198063	1803
ENSG00000005175.ali	1.9921366594360086	1998
ENSG00000100522.ali	1.9917908178777743	555
ENSG00000164163.ali	1.988437821171634	1797
ENSG00000164796.ali	1.988019693654267	11127
ENSG00000007341.ali	1.9879652328950301	1665
ENSG00000114354.ali	1.986624704956727	1203
ENSG00000166004.ali	1.9860033726812816	7617
ENSG00000150593.ali	1.9858989424206817	1407
ENSG00000133858.ali	1.9858864365708297	5976
ENSG00000117477.ali	1.9848961611076148	1530
ENSG00000139304.ali	1.9846562292585797	6933
ENSG00000108848.ali	1.9833997959751462	1428
ENSG00000135241.ali	1.9821034025629696	2358
ENSG00000185875.ali	1.9811494858950698	2229
ENSG00000085224.ali	1.9802973638602572	7494
ENSG00000164190.ali	1.9792944310227343	8466
ENSG00000023318.ali	1.9790298130368873	1218
ENSG00000104064.ali	1.9785023289143675	1188
ENSG00000108384.ali	1.9781337401474701	1104
ENSG00000029363.ali	1.9739820742637644	2769
ENSG00000164654.ali	1.9735086531953978	2631
ENSG00000118496.ali	1.973261127094263	2250
ENSG00000071189.ali	1.9717435566370363	2871
ENSG00000164113.ali	1.9715566764747092	1737
ENSG00000060339.ali	1.971513869884314	3450
ENSG00000058063.ali	1.9708025343189017	3510
ENSG00000197140.ali	1.9702577660277594	2202
ENSG00000156162.ali	1.9697418535759628	2160
ENSG00000157107.ali	1.9683874709976799	2445
ENSG00000165525.ali	1.9668761785040856	3249
ENSG00000127083.ali	1.9647887323943662	1287
ENSG00000177888.ali	1.9639529927540644	2733
ENSG00000077254.ali	1.963293588863225	2748
ENSG00000105865.ali	1.9632006846384253	951
ENSG00000120675.ali	1.9607679465776293	450
ENSG00000145734.ali	1.9604193971166448	8436
ENSG00000094975.ali	1.9600994155975011	3669
ENSG00000205302.ali	1.9600214649852428	1557
ENSG00000092148.ali	1.9590617941021753	7833
ENSG00000153201.ali	1.9583307438941022	9699
ENSG00000148690.ali	1.958021712907117	945
ENSG00000185250.ali	1.9577259475218658	882
ENSG00000070367.ali	1.9573872472783826	2142
ENSG00000198001.ali	1.9571005917159763	1386
ENSG00000172244.ali	1.95453269716531	1920
ENSG00000138709.ali	1.954457738324971	2715
ENSG00000128694.ali	1.9524127195908383	1242
ENSG00000164692.ali	1.9523617115843064	4119
ENSG00000184898.ali	1.9521988527724665	1074
ENSG00000113595.ali	1.9519252336448598	1722
ENSG00000175105.ali	1.9513081395348837	3408
ENSG00000133773.ali	1.9510723860589811	729
ENSG00000014824.ali	1.9505994212484499	1716
ENSG00000135655.ali	1.950439200826731	2952
ENSG00000054267.ali	1.9503612453869743	3951
ENSG00000072133.ali	1.94878587196468	2259
ENSG00000122417.ali	1.948051948051948	1926
ENSG00000127947.ali	1.9478237602568675	2358
ENSG00000128590.ali	1.9474299065420562	672
ENSG00000182993.ali	1.945054945054945	732
ENSG00000139151.ali	1.9445303108363388	1917
ENSG00000188994.ali	1.9430680493709094	8199
ENSG00000134152.ali	1.940071803369235	912
ENSG00000237651.ali	1.9384328358208955	555
ENSG00000167088.ali	1.9370418283742992	357
ENSG00000163576.ali	1.9362874251497006	2523
ENSG00000137959.ali	1.9350649350649352	1206
ENSG00000186104.ali	1.9350583460172501	1506
ENSG00000128915.ali	1.9343697829716193	2982
ENSG00000119705.ali	1.9318181818181819	333
ENSG00000139687.ali	1.9311262193319538	2793
ENSG00000039123.ali	1.9307553217720062	3126
ENSG00000088179.ali	1.9307251577058857	2778
ENSG00000082898.ali	1.9299519526028683	3216
ENSG00000119778.ali	1.9294292221685416	4383
ENSG00000164985.ali	1.9282738430356943	1593
ENSG00000070961.ali	1.9273826550513586	3750
ENSG00000175857.ali	1.9262820512820513	474
ENSG00000117054.ali	1.9257845631891433	1263
ENSG00000174799.ali	1.9256566991574426	3420
ENSG00000173681.ali	1.925283522348232	2172
ENSG00000152558.ali	1.9250535331905783	585
ENSG00000102531.ali	1.9236848992410365	3600
ENSG00000154079.ali	1.9236842105263159	324
ENSG00000039319.ali	1.9231131187652928	4680
ENSG00000156876.ali	1.921387543642302	1977
ENSG00000162664.ali	1.9213409861727107	1785
ENSG00000095564.ali	1.9206111001771304	5547
ENSG00000125629.ali	1.9190713820785419	675
ENSG00000119929.ali	1.917167167167167	819
ENSG00000173930.ali	1.9170548459804657	2181
ENSG00000122257.ali	1.916938648281932	5421
ENSG00000123600.ali	1.9162918540729634	1185
ENSG00000157181.ali	1.915725912312943	1371
ENSG00000151292.ali	1.9156258673327782	1368
ENSG00000013441.ali	1.9152999325994158	1458
ENSG00000197343.ali	1.9138755980861244	1635
ENSG00000128708.ali	1.9128187844062465	1257
ENSG00000183323.ali	1.9118129614438064	1560
ENSG00000102753.ali	1.9103504482477587	1563
ENSG00000179841.ali	1.9099656357388317	1284
ENSG00000154265.ali	1.9097786758141064	4932
ENSG00000198060.ali	1.909674717297222	834
ENSG00000020922.ali	1.9069967707212057	2139
ENSG00000116750.ali	1.9068550497121926	990
ENSG00000114771.ali	1.9055823569951758	1197
ENSG00000180008.ali	1.904747225647349	1323
ENSG00000106299.ali	1.9046058790488674	1524
ENSG00000140299.ali	1.904182022111841	972
ENSG00000088766.ali	1.904084442404773	909
ENSG00000070081.ali	1.9039294306335204	1254
ENSG00000176208.ali	1.9034949931278224	5640
ENSG00000115520.ali	1.903301886792453	738
ENSG00000172869.ali	1.9032976354575337	9177
ENSG00000114346.ali	1.9031915646451065	2733
ENSG00000178691.ali	1.902851237157274	2241
ENSG00000075790.ali	1.9027355623100304	723
ENSG00000134852.ali	1.9023616952442575	2616
ENSG00000173769.ali	1.90177084909944	4986
ENSG00000023516.ali	1.9013735215566578	5763
ENSG00000101624.ali	1.900695951507895	1983
ENSG00000144034.ali	1.900395256916996	525
ENSG00000171988.ali	1.8989490958437214	7650
ENSG00000198586.ali	1.8983363076391688	2298
ENSG00000129534.ali	1.897521768251842	3483
ENSG00000047410.ali	1.8970902171895303	7101
ENSG00000117475.ali	1.896954314720812	1206
ENSG00000152683.ali	1.8963879515060618	1383
ENSG00000117533.ali	1.896138996138996	423
ENSG00000134744.ali	1.8954391632056606	4998
ENSG00000241058.ali	1.895304080061586	1407
ENSG00000132950.ali	1.8936535162950257	2010
ENSG00000174173.ali	1.892929292929293	1245
ENSG00000143889.ali	1.8915753683415186	1668
ENSG00000183814.ali	1.8911643713110355	1677
ENSG00000064102.ali	1.8910654862811578	2118
ENSG00000176407.ali	1.8902657304144292	1137
ENSG00000137955.ali	1.8894776684330052	993
ENSG00000139354.ali	1.8894472361809045	2112
ENSG00000163138.ali	1.889092912229159	750
ENSG00000173988.ali	1.8869277440706012	1767
ENSG00000213079.ali	1.885646083862541	3819
ENSG00000182359.ali	1.8854621278246533	1821
ENSG00000136143.ali	1.8848588537211293	1389
ENSG00000165972.ali	1.8847440185232827	1692
ENSG00000188732.ali	1.8845870206489677	894
ENSG00000034677.ali	1.8844025157232704	2526
ENSG00000082293.ali	1.8843865850504353	3441
ENSG00000121621.ali	1.8838960122338548	2697
ENSG00000122435.ali	1.8835246455097907	1443
ENSG00000153132.ali	1.8832565284178187	1842
ENSG00000162994.ali	1.8825180433039295	1761
ENSG00000123607.ali	1.8825055596738325	3945
ENSG00000135317.ali	1.8821985406058062	2841
ENSG00000139697.ali	1.8818436383533426	4179
ENSG00000005700.ali	1.881467793030623	4065
ENSG00000270647.ali	1.881209503239741	1887
ENSG00000115947.ali	1.8810565801813066	1308
ENSG00000104388.ali	1.8809376927822332	636
ENSG00000138688.ali	1.8807843056781104	15021
ENSG00000137601.ali	1.8796244655140362	3885
ENSG00000153339.ali	1.8786144578313253	4317
ENSG00000108406.ali	1.8784498285979896	2337
ENSG00000283434.ali	1.8783783783783783	1731
ENSG00000142867.ali	1.8772590361445782	699
ENSG00000204311.ali	1.876698612501788	1059
ENSG00000104218.ali	1.8754171301446052	3687
ENSG00000119013.ali	1.8744813278008299	294
ENSG00000165259.ali	1.874322125813449	2085
ENSG00000172172.ali	1.8726648875333587	534
ENSG00000144228.ali	1.872342952143451	1176
ENSG00000123552.ali	1.871802411055572	2460
ENSG00000183977.ali	1.87109375	1899
ENSG00000132388.ali	1.8702141466580142	510
ENSG00000188649.ali	1.8687093779015784	3996
ENSG00000148925.ali	1.8684914591479729	1455
ENSG00000146085.ali	1.868465871872134	2250
ENSG00000067900.ali	1.866343126967471	4062
ENSG00000196792.ali	1.866281527405946	2385
ENSG00000131263.ali	1.8648039215686274	1857
ENSG00000109680.ali	1.8642629013279544	1578
ENSG00000091039.ali	1.8635324298700575	2673
ENSG00000009413.ali	1.8633223345019592	9429
ENSG00000114127.ali	1.862521184730853	5091
ENSG00000142065.ali	1.8618266978922717	1677
ENSG00000169064.ali	1.8614768174012593	2520
ENSG00000140006.ali	1.8611878453038675	1161
ENSG00000011566.ali	1.8609228943073346	2682
ENSG00000162851.ali	1.8603736479842674	1197
ENSG00000107854.ali	1.860312567209119	3489
ENSG00000204186.ali	1.8600964851826327	7452
ENSG00000153130.ali	1.8597510373443984	297
ENSG00000136560.ali	1.8589956767542402	1281
ENSG00000116001.ali	1.858842188739096	1167
ENSG00000115355.ali	1.8583406641741809	5625
ENSG00000133640.ali	1.8565105127259314	5013
ENSG00000135951.ali	1.8563464410154307	2097
ENSG00000111875.ali	1.8556180865515235	612
ENSG00000144895.ali	1.8552845528455284	1758
ENSG00000062194.ali	1.8545476133934933	1479
ENSG00000138430.ali	1.8543885668059863	1188
ENSG00000115966.ali	1.85389906356178	1515
ENSG00000197780.ali	1.8538928210313448	372
ENSG00000122008.ali	1.8538346613545817	2646
ENSG00000177200.ali	1.851575669833211	8733
ENSG00000179454.ali	1.8514584891548242	1713
ENSG00000047188.ali	1.8511999446711391	4299
ENSG00000125351.ali	1.8511540273198304	1455
ENSG00000138468.ali	1.8509457469702117	3168
ENSG00000132424.ali	1.8507830130616152	2442
ENSG00000106819.ali	1.8506003430531732	1128
ENSG00000118482.ali	1.849328164002337	6189
ENSG00000141446.ali	1.8490683229813665	2559
ENSG00000083642.ali	1.8487670438062083	4353
ENSG00000115524.ali	1.848731073486774	3903
ENSG00000085760.ali	1.8484805452996307	2181
ENSG00000165410.ali	1.8484405458089668	498
ENSG00000113593.ali	1.847966022961046	1938
ENSG00000120837.ali	1.8469987228607918	621
ENSG00000198604.ali	1.8459047536807565	4683
ENSG00000128050.ali	1.8452929558920341	1287
ENSG00000187118.ali	1.8452200303490136	312
ENSG00000075303.ali	1.8441590516176833	1014
ENSG00000145087.ali	1.843213728549142	3558
ENSG00000123200.ali	1.8427128427128427	5256
ENSG00000151687.ali	1.841821138211382	4296
ENSG00000065548.ali	1.8413016656384948	1278
ENSG00000179299.ali	1.8404897396102777	2178
ENSG00000049167.ali	1.839527027027027	1194
ENSG00000138036.ali	1.838871187983614	1053
ENSG00000121897.ali	1.8387803542085084	1119
ENSG00000143278.ali	1.837731390311146	1989
ENSG00000165359.ali	1.8375961366481846	2694
ENSG00000106443.ali	1.8369677601278316	2862
ENSG00000170786.ali	1.8366834170854272	927
ENSG00000177565.ali	1.8354587611791984	1545
ENSG00000035687.ali	1.8340406009863517	1374
ENSG00000242715.ali	1.8336842105263158	645
ENSG00000082269.ali	1.8336524260160822	4569
ENSG00000122912.ali	1.8335	1002
ENSG00000112874.ali	1.8329925017041582	1389
ENSG00000142731.ali	1.8323629793214213	2922
ENSG00000119471.ali	1.8320765127827847	1257
ENSG00000114686.ali	1.8319405756731661	1047
ENSG00000174016.ali	1.8316965797494074	1170
ENSG00000031003.ali	1.8316089903674635	2766
ENSG00000123496.ali	1.8315677966101696	1161
ENSG00000145723.ali	1.8312184946984182	1572
ENSG00000131269.ali	1.8306043914585377	2265
ENSG00000164944.ali	1.8300625458965334	5445
ENSG00000257103.ali	1.8298214808311384	1398
ENSG00000138778.ali	1.8297007438159487	8397
ENSG00000178177.ali	1.8283563362609787	1740
ENSG00000087299.ali	1.8282496480525574	1392
ENSG00000119698.ali	1.8278356251490342	2598
ENSG00000155970.ali	1.826149266894499	1602
ENSG00000151239.ali	1.8261127596439168	1047
ENSG00000136738.ali	1.8255897069335238	1641
ENSG00000221886.ali	1.8248155600268277	1782
ENSG00000135315.ali	1.8244425922067098	4221
ENSG00000244462.ali	1.8242289860915137	3000
ENSG00000188739.ali	1.823980481003834	1314
ENSG00000111530.ali	1.8236893878023377	3690
ENSG00000213639.ali	1.8233141082519964	981
ENSG00000056097.ali	1.82317299829009	3228
ENSG00000100557.ali	1.8226600985221675	888
ENSG00000196981.ali	1.8223396920248218	990
ENSG00000162928.ali	1.8217660475724993	1215
ENSG00000165417.ali	1.8209916291049582	1137
ENSG00000145388.ali	1.8199863107460643	1377
ENSG00000091164.ali	1.8196950840074673	867
ENSG00000197683.ali	1.819672131147541	630
ENSG00000178125.ali	1.8196152633238727	996
ENSG00000129317.ali	1.8195589645254076	2106
ENSG00000164548.ali	1.8194873378628784	852
ENSG00000169379.ali	1.8160093258208665	1296
ENSG00000170788.ali	1.8146186440677967	531
ENSG00000165288.ali	1.8127815076060168	5406
ENSG00000123636.ali	1.809617185670803	6549
ENSG00000173744.ali	1.8092422251423566	1515
ENSG00000185728.ali	1.8091758324544223	1764
ENSG00000188343.ali	1.8084311632870864	858
ENSG00000189367.ali	1.8075499629903775	2097
ENSG00000181007.ali	1.8074712643678161	1812
ENSG00000150768.ali	1.807325171197344	1962
ENSG00000173258.ali	1.80653324131585	2277
ENSG00000169031.ali	1.8061960922372822	5004
ENSG00000137776.ali	1.8060463039734678	3105
ENSG00000021574.ali	1.8041686404547608	1851
